"","title","company","location","desc","ind","jobtype","industry_clean","highest_edu","lon","lat"
"77","Data Services Engineer","Interactive Business Systems, Inc.","Farmington, MI","
Data Services EngineerInteractive Business Systems is teaming up with a Farmington Hills company to locate and bring on a SQL Data Services Engineer for a long term contract to hire!


This role will assist in leading a team of engineers responsible for developing and managing data integration, warehousing and business intelligence solutions with a focus on Microsoft tools and technologies. They will play key roles in the analysis, design, development, testing and documenting of databases, services, Analysis Services cubes, ETL tasks, stored procedures that supplement and support existing and new BI solutions. They will also play a role in defining new and strategic reporting techniques and supporting interactions with the Marketing Intelligence group. 


Data Services EngineerMust have strong skills in Microsoft SQL Server
6+ years of experience writing SQL, T-SQL, and Stored Procedures
5+ years of experience using SSIS
Relevant experience with SSAS data cube and MDX queries is highly desirable.
Associates degree in Computer Science/Information Systems or related work experience.
Experience in relational and dimensional data modeling
Well versed in data quality concepts including setting up and measuring data accuracy, completeness and consistency
Programming or scripting experience using JavaScript, Windows Scripting Host, PowerShell or C#/.Net is highly desirable. The ability to think outside the box to creatively solve problems
 
Bachelors (4-year) degree is preferred
Minimum three years’ experience
Experienced managing multiple projects at the same time while communicating project status
Adaptive, forward thinking, and team-oriented
Leadership experience and communicating operations and strategy with both technical and business roles
Experience with consumer relationship management (CRM) industries a plus
Have physical and mental requirements to meet the above listed job responsibilities.



Interested candidates should send a resume and brief cover note to the attention of Chris Douglas at Interactive Business Systems ([Click Here to Email Your Resumé]) 
  
IBS offers a competitive salary and comprehensive benefits package to all employees. Referral and sign-on bonuses may also be available. 
  
About IBS: IBS, Interactive Business Systems, Inc., is an IT solutions and staffing company known for achieving business objectives and bottom-line results through the smart architecting, implementation and management of technology. In three decades of developing the technology applications, tools, environments and teams that foster top business performance, we have become an industry-leading IT services provider.  
",0,"data science","Information Technology","bachelor",-83.3763218,42.4644795
"78","Data Scientist","Visionaire Partners","Atlanta, GA","


Data Scientist
Exciting opportunity for a Data Scientist to join a top not team working on innovative projects. 
You will be responsible for working with stakeholders including external clients on new modeling solutions, you will manipulate large data sets, integrate various data sources, use cases, utilize SAS, prepare of training data sets and iterative algorithm development, create advanced quantitative models to improve efficiency, and meet with business partners to gather requirements and will develop reports based on data analysis. 
This is a 6 month contract with option to extend or convert. This position offers an exciting opportunity to work with a dynamic team of IT professionals and make a big impact. 









Data Scientist (prefer 2+ years but will consider a recent Ph.D graduate) 
Advanced Degree in Math, Physics, Computer Science, Electrical engineering or a related field 
Ph.D
SAS 
SQL 
Understanding of statistical methods 
Machine learning techniques
Automotive or Marketing experience
Excellent communication skills and consultative personality

PREFERRED: 
Big Data - Hadoop, Spark, Hive, Hbase, or PySpark  

",0,"data science","Information Technology","bachelor",-84.3879824,33.7489954
"79","Healthcare Data Scientist","Deloitte","Arlington, VA","
Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your analytical skills and strategic ideas to improve mission execution? If so, Deloitte could be the place for you! Our Federal Strategy and Operations teams bring deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most complex business problems. Join our team, and play a key role in helping to design our clients’ roadmap to the future and help transform the Federal marketplace. Work you’ll do As a Sr. Consultant within our Analytics team, you will:Perform project tasks independently, and may direct the efforts of others 
Participate in and/or lead the development of deliverable content that meets the needs of the client and contract 
Anticipate client needs and formulate solutions to client issues
Review deliverables for accuracy and quality
Provides coaching to junior staff  
Contribute to new business proposals and proposal development
Manages own personal and professional development; seeks opportunities for professional growth and expansion of consulting skills and experiences
  The Team Transparency, innovation, collaboration, sustainability: these are the hallmark issues shaping Federal government initiatives today. Deloitte’s Federal practice is passionate about making an impact with lasting change.  Carrying out missions in the Federal practice requires fresh thinking and a creative approach. We collaborate with teams from across our organization in order to bring the full breadth of Deloitte, its commercial and public sector expertise, to best support our clients.  Our aspiration is to be the premier integrated solutions provider in helping to transform the Federal marketplace.By offering client-tailored services and deep industry insight, the Business Model Transformation team helps clients to seize new growth opportunities, maximize operational effectiveness, elevate their quality of service delivery, and stay ahead of customer demand. Consider a career where you’ll thrive on helping Federal clients to execute on their strategic visions and improve mission performance. Qualifications Required:Bachelor's degree in Computer Science, Engineering, Mathematics or other business-related field
3 years of relevant consulting or industry experience
Experience working independently with minimal guidance
Strong problem solving and troubleshooting skills with experience exercising mature judgment
Proven experience effectively prioritizing workload to meet deadlines and work objectives
Demonstrated ability to write clearly, succinctly, and in a manner that appeals to a wide audience
Proficiency in word processing, spreadsheet, and presentation creation tools, as well as Internet research tools
Ability to obtain and maintain the required Security Clearance for this role
  Preferred:Prior professional services or federal consulting experience
Experience with: SQL; Python; R; VBA, Hadoop
Experience in statistical analysis, of claims data. 
Master degree in Biostatistics, Statistics or health related field. 
Proficiency in statistical SAS programming and predictive modeling using SAS Enterprise Guide and Enterprise Miner. 
Strong technical writing capability is required.
  How you’ll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world.  From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career.  Explore Deloitte University, The Leadership Center.  BenefitsAt Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.   Deloitte’s cultureOur positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.  Learn more about Life at Deloitte. Corporate citizenshipDeloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities.  We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities.  Learn more about Deloitte’s impact on the world. Recruiter tipsWe want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.#LI:PTY ",0,"data science","Health Care","ms",-77.0909809,38.8816208
"80","Computer Science/Engineering - Firmware Co-Op (Spring 2018)","Diebold Nixdorf","North Canton, OH","
As a Computer Science/Engineering Co-op with Diebold Nixdorf you will have multiple opportunities to gain corporate experience by being involved in projects, staff meetings, and corporate events.  You will be trained on the appropriate tools, languages, and documentation required.  Diebold Nixdorf will provide a great learning experience, and you will be invited to participate in events with other Interns and Co-ops.   Your essential functions could include:  Working with team members to setup and debug development issues Evaluating requirements, creating designs, coding, debugging/creating installation packages and documenting developed software Putting together equipment racks for ATMs and circuit cards Assist with new firmware releases for ATMs Working under direction of senior level software engineers Writing test scripts   Complete research assignments on the latest software tools to handle various tasks Automation design for existing manual processes and data gathering Learning database systems and how to interface with them using code 


Must be currently attending a college or university pursuing a Bachelor's degree in Computer Science or Computer Engineering Must have and maintain a 3.0 GPA or higher Hands-on hardware exposure with basic knowledge of software Minimal programming skills Experience with Microsoft Office products Diebold Nixdorf, Incorporated is an Equal Opportunity Employer.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, age, national origin, genetic information, disability or protected veteran status.
",0,"data science","Media","bachelor",-81.4023356,40.875891
"81","Process Engineer - Materials Science","Image Associates Inc., pearl AT jobspot.com","Philadelphia, PA","
Opportunity to join a global company which manufactures
powders used in industrial coating applications. This position requires a
degree in materials science, materials engineering, ceramics, metallurgy, or
similar. You will be responsible for developing and improving powder
manufacturing processes for an industrial materials manufacturer. Will lead new
product development projects, and oversee activities from initiation to
completion. 

This job is located on Long Island, New York. Please apply for this job if you are interested in living and working on Long Island.

To work in this manufacturing environment, you should have
familiarity with key process equipment such as spray drying, blending, plasma
densification, dust collection, particle size classification, rotary equipment,
piping, and electrical equipment. You will develop and maintain SOP’s for
equipment operation and manufacturing. Explore ways of improving the R&D
powder manufacturing process to improve yield, reduce costs and increase
efficiency. Explore new powder manufacturing technologies, equipment or
upgrades. Assist with equipment trouble shooting. Generate and update equipment
manuals and processing procedures. Prepare engineering reports, status reviews,
and presentations.
 
You will also be responsible for scale up and new
qualification projects. Work with people in Production to improve processes,
and address safety concerns. Will also interface with R&D and Quality to
address product quality concerns. Generate, maintain, and update engineering
documents, and maintain data in SAP.


Bachelor’s degree in Materials Science, Materials
Engineering, Metallurgy, or Ceramics required, Master’s degree preferred.
Should have at least two years of paid, post-graduation, paid experience
working in materials engineering and powders at a manufacturing company. Should
have familiarity with key process equipment such as spray drying, blending,
plasma densification, dust collection, particle size classification, rotary
equipment, piping, and electrical equipment. Experience with software including
MS Office, MS Project, and SAP is expected.
",0,"data science","Manufacturing","ms",-75.1652215,39.9525839
"82","Director, Big Data Engineer","Yoh","La Jolla, CA","
Our client is a world leader in the medical device industry and is aggressively seeking a Director of Data Engineering.The Director, Data Engineering will lead data platform build-out for a unified cloud-centric data platform where internal and external client stakeholders will be serviced. This position will significantly contribute to the development of innovative global big data analytics capabilities that will in turn drive meaningful change in the healthcare sector. This is the place where you can use your cutting-edge data chops for good.Responsibilities:Design, build, and maintain all parts of the data platform (acquisition/ingest, storage, transforms, data modeling, governance, access, etc.)
Take a hands-on engineering leadership role for a team of data engineers
Acquire data from critical internal and external source systems and build secure feeds to the data platform
Hands-on management of infrastructure service providers to manage platform scale-up, architecture, and administrative requirements.
Work with product managers, data scientists and your data engineering team to refine product concepts and implement the data modeling and processes needed to turn them into reality
Collaboration with analysts in the preparation of data for BI or custom projects
Define, establish, and monitor data quality, data systems, and automated testing frameworks
Monitoring regular data processing tasks to ensure operational service level compliance and data quality
Translate information needs of external partners into data platform requirements and technically facilitate the right privacy-centric, secure, compliant access.
Collaborate with regulatory and quality organizations to ensure platform compliance to regulatory treatment
Qualifications:10+ years of experience leading data engineering teams and building enterprise-scale data platforms
Experience in complex environments building and deploying MPP Databases, Hadoop ecosystem, in-memory data grids, Java EE, BI/DW, or equivalent enterprise scenarios
Must have a solid understanding of enterprise software development from design and architecture through production
Prior experience with Cassandra, Kafka, Hadoop, Hive, and Map/Reduce
Experience with other programming languages (Python, C, C++, etc.)
Proficiency in SQL, NoSQL, relational database design and methods
Experience building complex and non-interactive systems (batch, distributed, etc.)
Excellent problem solving skills -- the ability to uncover business challenges and develop a technical solution to solve those challenges
Experience with Big Data on cloud computing platforms with technologies such as Hadoop, Hive and Spark and other NoSQL paradigms.
Intermediate programming and computation skills, preferably with Python, Perl, Java, BASH/Shell Scripting and/or C/C++
Strong SQL programming skills
RDBMS related database administration and product experience is strongly preferred (Teradata, Netezza, Vertica, Oracle, DB2, Postgres, etc.)
Deep understanding of traditional DW/BI components (ETL, Staging, DW, ODS, Data Marts, BI Tools)
Understanding of parallel processing approaches and concepts
Understanding of the hardware and networking architecture behind large scale clustered systems
Understanding of a variety of commonly-used analytic techniques and the models underlying them.
Previous experience supporting third party data access through platform APIs
Familiarity with different development methodologies (e.g. agile, waterfall, XP, scrum, etc.)
Bachelor or Master's Degree in Computer Science/Engineering, or equivalent
Relevant Work Experience:Minimum: 10+ years of experience in data engineering, analytics, and/or software development Preferred: 15+ years of experience in data engineering, analytics and/or software development
Minimum: 5+ years' experience in senior technical leadership roles Preferred: 5+ years of experience building data capabilities in healthcare/life sciences sector
Bonus: Experience working within one of the following: medical device, pharma, biosciences fields
CB1
",0,"data science","Health Care","ms",-117.2712717,32.8328112
"83","LAB Research Chemist/Physicist/Engineer I","Apex Life Sciences","Maplewood, MN","


***Apex Life Sciences is currently seeking a Lab Technician for one of our top Material Science clients in Maplewood, MN.  

Please see below for details about this exciting growth opportunity, and call us at 763-546-0512 asap to learn more!


Description:
 
Minimal work direction needed, skilled and knowledgeable to the position and provides best practicing sharing within work group. Seeking a degreed scientist or engineer able to support a mix of directed and self-directed activity to support product development.

Minimum candidate Qualifications: 
1. BS in Chemistry, Chemical Engineering, Materials Science or other science or engineering field.
2. Understanding of fundamental material properties, data collection and material processing.
3. Candidate should be a hands-on, energized self-starter with good communication skills.


Please call us at 763-546-0512 if you or anyone you know is interested in learning more about this Lab Technician opening or exciting other job opportunities!!






EEO Employer
Apex is an Equal Employment Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at [Click Here to Email Your Resumé] or 844-463-6178.








EEO EmployerApex is an Equal Employment Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at [Click Here to Email Your Resumé] or 844-463-6178.
",0,"data science","Education","bachelor",-92.9952153,44.9530215
"84","Analyst III, Data Science","Health Services Advisory Group, Inc.","Tampa, FL","

Are you passionate about improving the quality of healthcare? 
Are you interested in exploring a rapidly expanding universe of clinical data? 
Are you ready to leverage your talents to make healthcare better for everyone? 
Are you fascinated by the growing field of data science?
Then join the new Data Science & Advanced Analytics team at Health Services Advisory Group (HSAG) that is transforming the delivery of healthcare in the United States!
HSAG has been a pioneer in the field of healthcare quality improvement for over three decades, serving approximately:
25 percent of the nation’s Medicare population
46 percent of the nation’s Medicaid population
20 percent of the nation’s dialysis population
HSAG is nationally recognized as an industry leader in the areas of data analysis, measure development, and patient satisfaction surveys. We are in search of talented individuals that are interested in a career in analytics as an Analyst 3 in HSAG’s Data Science & Advanced Analytics division. Together we can spread positive change to make healthcare better.  
UNIQUE BENEFITS
An Analyst 3 in DSAA also benefits from HSAG’s desire to grow its staff into the future leaders of healthcare quality improvement in the nation. New HSAG analysts are provided formal training in statistics, clinical epidemiology, SAS, healthcare data, and an assortment of healthcare-related topics. 
HSAG offers:
A comfortable work-life balance, including half-day Fridays and flexible work schedules.
Three weeks of paid time off and 13 company-paid holidays where staff leave two hours early prior to each holiday just to get a “jump start” on holiday festivities.
HSAG offers a competitive benefit package which includes, medical, dental, vision, tuition reimbursement, 401(k) and an employee stock ownership plan. 
DESCRIPTION
The Analyst 3 is a lead contributor to cutting edge analytic work that spans the broad spectrum of healthcare data projects at HSAG. Driven by intellectual curiosity and a passion for healthcare quality, the Analyst 3 leads the development and execution of innovative analytic plans that are intended to provide healthcare decision and policy makers with the necessary information to transform healthcare. The Analyst 3 will also lead a wide array of analytic studies and participate in all phases of the research design process. The Analyst 3 will have at his or her fingertips a wide array of data types to facilitate data exploration, including:
survey
case review
medical and prescription drug claims
eligibility
clinical
electronic health record
operational
Details regarding potential project assignments will be discussed with potential candidates during the interview process.  Beyond project assignment duties, the Analyst 3 will serve as a mentor to other analysts within the division and will work closely with the division’s leadership to fulfill HSAG’s analytic vision.
ESSENTIAL COMPETENCIES, DUTIES, AND RESPONSIBILITIES
Serve as a leader within HSAG Data Science & Advanced Analytics division.
Demonstrate expertise in utilizing the primary types of healthcare data and methods for approaching data assessments.
Evaluate a wide array of data types.
Conduct and interpret analyses, develop appropriate statistical models, manipulate complex databases, and track and evaluate patterns of care and outcomes.
Develop analytic methodologies and analysis plans.
Attend and participates in team training meetings, including presenting at these meetings.
Present and communicate project results to nonanalytic staff members and customers. 
Represent HSAG in a professional manner at all times.

",0,"data science","Health Care","bachelor",-82.4571776,27.950575
"85","Director of Data Science","National Collegiate Scouting Association","Chicago, IL","
ABOUT NEXT COLLEGE STUDENT ATHLETE (NCSA)
NCSA is the world’s largest and most successful collegiate athletic recruiting network. A wholly-owned subsidiary of Reigning Champs (www.reigningchamps.com), NCSA’s team of more than 600 former collegiate and professional athletes leverages 16 years of exclusive data, proprietary matching algorithms, and personal relationships to connect tens of thousands of college-bound student-athletes to more than 41,000 college coaches nationwide across 31 sports every year. You can learn more about NCSA at www.ncsasports.org.
 
Director of Data Science Job Details
We’re looking for someone to lead our Data Science and Analyst team and take our business analytics capabilities to the next level. We need someone who wants to wade in and find the insights even when they might challenge established business patterns and the status quo.  We’re looking for a hands-on leader and innovator who can apply advanced analytics strategically, meet our ever-growing demand for data-driven insights, and help build a stronger product vision along the way.
 
You understand and can implement data processes from collection to modeling to insights. You’re well versed in leading edge practices and technologies including, artificial intelligence, machine learning and deep learning. Ideally, you’ll be as comfortable diving in and getting your hands dirty as leading a strategic initiative and building the team.  You are a self-motivated, organized go-getter who loves taking problems and developing solutions that drive business outcomes.
 
You’ll be working with a collaborative team of analysts and data scientists as well as product managers, designers, developers and business stakeholders across the entire organization. You’ll need to be able to articulate your decisions and take feedback into the next iteration. Want to work with a great team to make students’ lives better? Great!
 
Responsibilities
Establish and improve data collection, engineering, analysis and modeling practices and processes
Support senior management with integrating data science, analytics into decision making and the portfolio of products and services
Provide internal and external thought leadership in Business Intelligence, Data Analytics and visualization
Architect and deliver an enterprise data platform strategy that results in availability of high quality data that satisfies requirements and priorities to achieve business goals
Define and implement strategies for adopting Artificial Intelligence methods across the organization
Participate in strategy and execution for Global Roadmap projects as appropriate
Attract, mentor, manage, and develop data analyst and data scientist talent
Understand and prioritize the data requirements while managing the expectations of stakeholders
Develop, articulate and communicate solutions appropriate to varied business stakeholder audiences


Requirements
3-5 years of relevant experience in similar role with a proven track record of leveraging analytics and large amounts of data to drive significant business impact
Creation/deployment of models & algorithms to analyze unstructured data
Ability to generate relevant insights using data analytics and visualization solutions
Solid understanding of the principles of data management and business process workflow
Experience managing teams of 5 or more people
Experience prioritizing and leading concurrent projects and initiatives
Top notch written and verbal communication skills
 
Preferred Qualifications
Hands-on experience with Artificial Intelligence methods and technologies
Working knowledge of statistics and stats packages like R or Matlab
A scripting language (Python, Ruby, etc.)
SQL and working knowledge of relational databases
Experience with Amazon RedShift and Apache Spark or similar
Self-starter able to make an impact with little guidance 
Extra Credit: former athlete or familiarity with college athletics
 
 
Benefits
Medical, Dental, & Life Insurance
Pre-Tax Flexible Spending Account
401(k) Match Up to 3%
Parental Leave
Wellness Reimbursement Program
Online Health Assessments
 
National Collegiate Scouting Association LLC is committed to providing equal employment opportunities to all employees and applicants without regard to race, religion, color, sex, national origin, citizenship status, uniform service member status, age, disability, sexual and gender orientation, genetic information or any other protected status in accordance with all applicable federal, state, and local laws.
",0,"data science","Finance","bachelor",-87.6297982,41.8781136
"86","Director, Data Science","Cardinal Health","Brentwood, TN","
The Director, Data Science role at naviHealth will report to the VP, Data Science and will be responsible for the design, analysis, and development of naviHealth's decision support tools using machine learning techniques for prospective analytics and predictive modeling. The colleague will be a key statistics and analytics expert and responsible for developing and implementing innovative approaches and methodologies to develop and support decision support products, and to identify new opportunities for products and services.Primary Responsibilities 
Develop and continually advance naviHealth's decision support tools for clinical workflow, Post-Acute Care management, and related business needs
Employ structured approach to leveraging large data sets to uncover new business insights that will support the evolution of our products and services
Apply demonstrable statistical, machine learning, and business strategy experience to develop and support predictive algorithms and related decision support products
Create examples, prototypes, visualizations or demonstrations to help leadership better understand the work and recommendations
Provide thought leadership, conduct studies, and publish whitepapers and articles in trade and scholarly journals
Collaborate with other business functions such as clinical services, product management, customer implementation to define, prioritize, develop, and implement data science products
Continually monitor and work with stakeholder to gather feedback and identify opportunities for ongoing improvement
Build and manage a Data Science team as determined by business needs and growth opportunities
Establish effective working relationships with all levels of staff and management.
Promote a culture of transparency, communications, and collaboration
Measure and report on performance of Data Science team
Qualifications
Master's degree in Statistics/Computer Science/Software Engineering; PhD preferred
8+ years' demonstrable experience developing solutions using machine learning techniques and applied statistical analysis such as regression, classification, clustering, Naïve Bayes, decision forests
Expert-level experience in data science and visualization toolkits such as R, SAS, Tableau
Demonstrable statistical, mathematical, and business strategy skills
Experience with relational, OLTP, SQL, dimensional and OLAP databases and technologies, business intelligence, data warehousing, and ETL database technologies and solutions
Strong project leadership and management skills required; ability to prioritize, plan, and handle multiple tasks/demands simultaneously
Strong written, verbal, and visual communications skills required
Team-first orientation: must thrive in collaborative, team-based work environment.
Experience with staff development and training.
Passion for creating new products that drive significant value for our clients.
Intellectual curiosity and creativity: thrives in developing new ideas and identifying growth opportunities
Strong problem solving, conflict resolution and negotiation skills.
Strong stakeholder engagement skills and detail orientation.
About naviHealth
NaviHealth partners with health plans, health systems and post-acute providers to manage the entire continuum of post-acute care. We utilize evidence-based protocols to optimize care and bundled payment methodologies to align all stakeholders. The result: optimized care and outcomes, reduced inpatient days, reduced hospital readmissions, and increased patient satisfaction. NaviHealth ™ is proud to be an equal opportunity/affirmative action employer. We are committed to attracting, retaining and maximizing the performance of a diverse and inclusive workforce. 
Cardinal Health is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. ",0,"data science","Health Care","phd",-86.7827772,36.0331164
"87","Data Science Associate","Confidential","King of Prussia, PA","
Position Description

The Data Science Associate will analyze business level data and produce actionable insights. This role will be responsible for industry/ market research and business case analysis of new opportunities for the unit. They will also be responsible for the advancement of analytical projects from inception to delivery and beyond. This will require them to connect with business partners/SMEs to understand business case, document requirements, collaborate with technical experts to deliver the work and ensure accuracy and timeliness of the deliverables.

Key Responsibilities
1. Market Analysis:
Research industry topics impacting healthcare revenue cycle processes and identify opportunities relevant for data analysis projects.
2. Data Analysis and deriving insights from data:
Support delivery of the reporting, dashboard, ad hoc and analytics requests

Performs QA, unit testing and user acceptance of applications and analyses•

Executes complex analyses to aid in reporting and interpretation of analytical findings to build a comprehensive solution.

Collaborates with architects and programmers to propose system solutions, and estimate high level costs• Demonstrates good judgment and analytical skills to conduct option analysis and present recommendations

Support and resolve issues related to analyses or deliverables in production
Understand data warehouse ETL concepts and develop/manage ETL processes when needed

3. Project Management:Responsible for all aspects of the development/implementation of projects and programs involving department teams focused on the delivery of a product/ project from the design process through a finished state for internal/external customers
Defines project scope and objectives, develops detailed work plans, schedules, project estimates, resource plans, and status reports
Conducts project meetings and is responsible for project deliverables
Manages the integration of vendor tasks, and tracks and reviews vendor deliverables
Communicates accurate and timely project status, issues, risks and scope changes to all stakeholders
4. Business Req Documentation:
Works with internal and external clients to understand, clarify, analyze and document business requirements for reporting and analytics initiatives• Develop and maintain technical specification documentation for the team• Mapping of processes to understand opportunities for advanced analytics and product enhancement





Minimum Requirements
8+ experience in analytics or related field
Critical Skills
• 5-6 years of experience in business analysis, requirements definition and translation in healthcare sector
• Experience working and analyzing healthcare data in particular claims (835, 837) and eligibility data• Expertise in MS SQL Server including ability to write SQL Query, Stored Procedure, SSIS, and set job schedule• Exposure to SAP/BO/dash-boardingtools/tableau/Alteryx• Experience with ETL concepts
• Must be solutions-oriented and focused on innovation

Additional Knowledge & Skills• Experience in Data Science within a business environment: core analytics methods, building forecast models from time series, feature engineering, and custom analyses for the business.
Exposure to Big Data tools such as Netezza, SAP HANA, Hadoop preferred• Familiarity with a scripting language: e.g. Perl, Python or a programming language: e.g. Java.
Expert skills with MS Office applications - Word, Excel, Visio
Project management experience• Self-motivated, highly organized with the ability to multitask and prioritize workload.
Understanding of the full cycle of software development methodology
Expert presentation & communication skills; comfortable with working with senior management level personnel both inside and outside the organization
Understanding of database architecture principles
BA or BS degree in business analysis, computer science, healthcare administration, economics, data science or Masters preferred.

EducationBA or BS degree or equivalent experience.
Environment – working conditions will include normal office environment
Percentage of travel: 10 - 15%

",0,"data science","Health Care","ms",-75.3835525,40.1012856
"88","Data Science - Banking","Oliver James Associates","Manhattan, NY","

Professional experience as a data scientist or a related software engineering role



Graduate in mathematics, computer science, physical sciences or other quantitative discipline



Thorough understanding of probability and statistics




Data Science insurance or banking background
",0,"data science","Finance","bachelor",-73.9712488,40.7830603
"89","Data Science Manager","Fifth Third Bank","CINCINNATI, OH","
Fifth Third Bank is one of the top-performing banks in the country, with a heritage that spans more than 150 years. We've staked our claim on looking at things differently to making banking a Fifth Third Better. This applies to our relationships with customers and employees alike.We employ about 18,000 people, and what we offer is:# A chance for employees to build their future, with supportive career development and financial wellness programs. # An environment where we win together. We celebrate achievement and work collaboratively. We're also a three-time Gallup Great Workplace honoree.# An invitation to impact lives in a positive and lasting way. Everything we do is geared toward improving lives. That's fun and exciting. It comes down to the fact that Fifth Third is a warm and caring place to with which to grow # as a customer or as a team member.GENERAL FUNCTION: The Data Science Manager will manage and analyze data to discover hidden insights that provide answers to pressing business problems across various lines of business. Uses data that is both structuredand unstructured, have high velocity, volume, and variety looking at it from many angles to determine what it means, and then recommends ways to apply the data. Ability to find rich data sources; manage large amounts of data despite hardware,software,and bandwidth constraints; merge data sources; ensure consistency of datasets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the actionable findings to a wide audienceincludingtechnical and non-technical business partners.Responsible and accountable for risk by openly exchanging ideas and opinions, elevating concerns, and personally following policies and procedures as defined. Accountable for always doing the right thing for customers and colleagues, and ensuresthatactions and behaviors drive a positive customer experience. While operating within the Bank's risk appetite, achieves results by consistently identifying, assessing, managing, monitoring, and reporting risks of all types.ESSENTIAL DUTIES & RESPONSIBILITIES:.Identify key business problems where data analysis provides insights into solutions and build-out actionable recommendations for business partners and senior leadership.Manage the development of data solutions in alignment with the goals of line of business partners.Manage the delivery of data solutions in collaboration with stakeholders across the bank.Provide insights into the strategic direction using data in alignment with the goals of line of business partners.Assist in the development of tactical and strategic roadmaps.Develop data solutions addressing the business initiatives and provide leadership on new product or initiative offerings.Lead and collaborate with Information Technology and Security in the development, enhancement, and ongoing maintenance of foundational customer data platforms.Lead the research and development of emerging technology.Recommend tool selections and identify resources for training and implementationSUPERVISORY RESPONSIBILITIES: Responsible for providing employees timely, candid and constructive performance feedback; developing employees to their fullest potential; developing the appropriate talent pool to ensure adequate bench strengthandsuccession planning; recognizing and rewarding employees for accomplishments. Assist in the development of appropriate talent pool to ensure adequate bench strength and succession planning.

MINIMUM KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:.Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field. PhD in the field of Statistics preferred, but not required..Typically requires minimum of 8-10 years work experience, 5 years in financial services.Working knowledge of mathematical and statistical modeling techniques with expert knowledge of their application to specific business problems.Expert working knowledge of SQL programming across multiple types of platforms.Expert working knowledge of SAS, SPSS, R, or other related software packages.Advance working knowledge of distributed processing of very large data sets on computer clusters or Map Reduce Advance working knowledge of Hadoop Ecosystem (Hive, Pig, HBase,Oozie, Sqoop, Ambari).Advance working knowledge of MS Office including VBA for Access, Excel, PowerPoint, and Word.Working knowledge of Python, Perl, and Java and machine learning tools.Ability to work both individually and as a member of a team.Fifth Third Bank is proud to have an engaged and inclusive culture and to promote and ensure equal employment opportunity in all employment decisions regardless of race, color, gender, national origin, religion, age, disability, sexual orientation, gender identity, military status, veteran status or any other legally protected status.
",0,"data science","Finance","phd",-84.5120196,39.1031182
